1H-13C - HSQC NSN Honey Sample			
Peak	(F2) [ppm]	(F1) [ppm]	Intensity [abs]
1	    3.6632	    72.744	    36788791296
2	    3.3887	    69.5211	    37515789312
3	    3.343	    75.8057	    38786390016
4	    3.7547	    71.4548	    44944910336
5	    3.7089	    62.2696	    47776300032
6	    3.7394	    62.4307	    48422032384
7	    3.6327	    72.744	    48513638400
8	    3.8157	    67.5873	    48783903744
9	    3.7242	    69.8434	    53499046912
10	    3.465	    71.4548	    54700121088
11	    3.5717	    62.753	    57512779776
12	    3.8309	    60.8193	    58848291840
13	    3.7547	    80.6401	    64058814464
14	    3.6327	    60.8193	    67279411200
15	    3.16	    74.1943	    67419838464
16	    3.7547	    60.6581	    67973540864
17	    4.0291	    74.3554	    72932283392
18	    4.0291	    75.4834	    80796099584
19	    3.6632	    60.6581	    83793119232
20	    3.8004	    60.6581	    85157752832
21	    3.3277	    69.6822	    96562878464
22	    4.578	    95.9488	    102025195520
23	    5.1574	    92.0814	    102379268096
24	    3.465	    63.881	    103786993664
25	    3.3887	    75.8057	    103854703616
26	    3.4955	    62.753	    104497038336
27	    3.8309	    69.6822	    121998423040
28	    3.9376	    63.3976	    129368975360
29	    3.8004	    69.6822	    132432701440
30	    3.9681	    63.3976	    134971250688
31	    3.7242	    67.5873	    150559137792
32	    3.4955	    63.881	    165552077824
33	    3.6479	    63.5587	    205847581696
34	    3.6174	    63.7199	    231049085952
35	    3.9224	    69.1988	    326416128000
