1H-13C HMBC NSN Honey Sample			
Peak	(F2) [ppm]	(F1) [ppm]	Intensity [abs]
1	5.316	72.9049	-660972262.50
2	3.7242	66.461	-661676483.80
3	3.9194	54.4547	-667085318.50
4	5.3392	72.7196	-674566175.50
5	3.7977	59.4763	-675472057.10
6	4.0996	70.8916	-676496885.50
7	3.6399	59.4285	677816761.50
8	3.4803	53.3854	-681104122.00
9	3.8269	71.0624	682643395.00
10	3.7278	92.0295	682771134.00
11	3.6761	63.0997	-683385329.00
12	3.3806	61.1032	-684043283.00
13	4.8805	71.6915	-684900326.50
14	3.311	63.6401	-686162181.50
15	3.4383	70.5817	-686561008.00
16	3.7431	60.7376	686654260.00
17	3.3831	59.9841	687793752.00
18	3.3972	94.7941	-688788106.00
19	3.4939	84.7242	-689914854.00
20	3.6371	49.8312	-691678341.00
21	3.5025	87.3311	691706125.50
22	3.4098	63.5573	694401687.00
23	3.5628	70.8019	694859345.50
24	3.9557	84.0716	695665468.00
25	5.1745	78.1567	696475507.50
26	4.0355	79.1928	696506783.50
27	3.7144	101.215	697878445.00
28	3.6925	76.5892	-697981270.50
29	3.9224	56.1512	700618056.00
30	3.1546	97.3867	-700714383.00
31	3.6925	78.2693	-701250121.50
32	3.7628	74.0142	-702506660.00
33	3.13	68.6012	-703132035.00
34	3.4764	60.8034	-703394450.00
35	3.9157	84.9697	-703492358.00
36	3.9029	76.3474	704101773.00
37	3.4641	58.9825	705459682.00
38	3.7022	96.6266	-707153535.50
39	3.5474	74.2355	-707540734.00
40	3.4759	62.473	707756345.30
41	3.624	49.3937	709618675.00
42	3.4869	84.3292	709688949.50
43	3.8404	97.8075	710312761.50
44	3.4803	103.6457	-710606591.00
45	3.6176	94.3457	-711559281.80
46	3.6304	73.5938	-711801878.50
47	4.8561	71.694	-715363875.50
48	3.6785	76.8722	715481129.00
49	5.2979	71.828	716167806.00
50	3.773	73.3707	716650871.00
51	3.9598	60.7623	719869453.30
52	3.4996	78.1983	720409972.00
53	3.8659	69.0819	720465394.30
54	3.4992	54.9393	720481950.00
55	4.0407	80.8647	721348321.00
56	3.6561	67.7321	-721402617.80
57	3.7189	92.0442	721873231.50
58	3.6601	104.2254	-722031353.00
59	4.0457	73.1516	722879122.00
60	3.4858	88.6138	-727423445.00
61	4.1523	75.1006	728044869.50
62	3.6433	53.6685	-729788183.30
63	3.9262	53.6412	730810730.00
64	4.0002	61.3323	-731083425.00
65	4.0615	76.6861	-731296442.00
66	5.1631	70.3395	731371679.00
67	3.5188	104.1128	-731577410.00
68	4.2208	74.3455	-731934755.50
69	3.688	60.0119	732229013.00
70	3.6337	64.72	732284884.00
71	3.4958	58.3156	732348765.50
72	3.386	97.7633	733829904.50
73	3.2176	72.3301	734331104.50
74	3.5939	106.6288	734551316.00
75	3.5564	62.4864	734644738.80
76	3.4662	43.6376	-737220298.00
77	3.9207	89.2653	-737471036.00
78	3.5738	72.7861	-738093219.00
79	3.6438	60.2023	738149151.50
80	3.5897	60.8484	-739326229.50
81	3.8018	61.2435	739425022.00
82	3.6696	62.8568	742861452.00
83	3.6255	43.0951	744230961.50
84	3.4317	98.1012	-744761064.00
85	3.7814	74.5763	744852255.00
86	3.351	72.8663	-745192760.80
87	3.6446	106.4046	-745441076.00
88	3.5698	105.8633	745758128.50
89	3.6247	46.1373	745914089.50
90	3.5916	88.1132	-746855477.50
91	4.0964	67.9476	-748213822.00
92	3.5975	101.7816	748884078.50
93	3.4866	65.6172	749676001.00
94	3.471	46.6048	750872983.50
95	3.5154	60.6541	-751112158.00
96	3.3064	77.3953	-751473685.00
97	3.8205	62.9257	-751522174.00
98	3.877	62.3613	-754671825.50
99	3.6083	89.1696	754915395.00
100	3.1059	53.9526	755296014.50
101	3.1545	74.6854	756596280.50
102	3.9242	85.6659	756839332.00
103	3.4835	87.4186	758041588.50
104	4.2582	80.4862	761075243.50
105	3.6569	96.105	761084796.00
106	3.6183	103.9696	-762755363.00
107	3.9013	78.5227	763784176.00
108	3.6409	41.0802	-764081328.00
109	3.9552	106.3684	766067967.00
110	3.4706	70.8442	767500447.00
111	5.3023	78.5081	767566615.00
112	3.6368	104.3396	767602938.00
113	3.5118	72.3018	-768082215.00
114	3.6333	56.0537	769951306.00
115	3.4996	65.6885	771420401.00
116	5.1368	81.3095	-771849833.00
117	4.026	60.5629	-772716506.50
118	3.8785	61.0302	772768950.50
119	3.9051	73.4739	-773175661.00
120	3.9543	64.229	-773731780.50
121	3.4416	70.9531	-774176673.00
122	3.4861	48.396	774362379.00
123	3.4542	83.5129	-774691934.00
124	3.4965	92.7254	-774912988.00
125	3.8118	75.39	775657198.00
126	3.4154	75.7806	775789436.00
127	3.9006	98.092	775860944.50
128	3.1141	69.0087	-776258362.00
129	3.9583	53.4531	776308938.00
130	3.8173	60.6459	-776729200.50
131	3.634	106.316	777088826.50
132	3.647	99.861	777494347.00
133	3.9601	100.0211	-777808768.00
134	3.6476	103.3559	778235232.00
135	3.3891	71.1371	778579289.30
136	5.3678	71.3038	778758882.50
137	3.9293	71.0486	-780732769.00
138	3.5897	101.9173	-781545219.00
139	4.5499	77.3419	-784051815.00
140	4.0233	78.3367	784121825.00
141	3.9259	100.72	-784378343.80
142	3.4578	43.5704	785367672.00
143	3.9517	99.9605	786381522.50
144	3.8327	59.2641	-787025616.00
145	3.6304	100.2953	-787297732.00
146	3.9081	80.3935	-787615864.00
147	3.4258	97.9709	-788535990.80
148	3.484	63.715	-789326845.00
149	3.6915	79.6094	789545925.00
150	3.7628	67.8284	-789728596.00
151	3.6082	82.9427	790006341.50
152	3.8294	97.0426	-791795462.00
153	3.454	96.3442	791860201.00
154	3.4796	96.7774	-791966004.00
155	5.1455	81.1334	792225075.30
156	3.3934	72.9548	-792861032.00
157	3.4885	92.4808	793162620.00
158	3.4505	91.7412	793841210.00
159	3.9297	65.4971	-796454711.00
160	3.1248	94.899	-798081885.00
161	3.6217	99.5432	-798813073.00
162	3.5221	73.05	-800707335.00
163	3.898	104.324	803699253.00
164	3.704	60.0297	-804881693.00
165	3.5385	71.0678	804895929.30
166	3.4683	51.4481	-805752660.00
167	4.2447	81.3972	806224808.50
168	3.4718	80.3573	808677024.50
169	5.2038	76.7449	809226673.50
170	3.6071	53.412	810793440.50
171	3.4675	61.6238	-812346008.00
172	3.8212	71.1277	-813161989.00
173	3.457	59.0417	-813505409.00
174	3.9198	104.5371	-813883293.00
175	3.8468	69.6661	-814858435.00
176	3.7099	61.096	815293409.30
177	3.4154	71.3719	815664775.00
178	4.0291	61.2565	-818937994.50
179	5.157	69.4889	-820074766.50
180	3.3281	59.5366	820535595.00
181	3.6667	74.804	820657563.00
182	3.3639	68.3508	821254514.50
183	5.2305	76.6331	-823678230.50
