1H-1H TOCSY NSN Honey Sample			
Peak	(F2) [ppm]	(F1) [ppm]	Intensity [abs]
1	    3.9103	    3.6257	    1100649824256
2	    3.9154	    3.8087	    1155160211456
3	    4.0272	    3.5952	    1178179108864
4	    3.7782	    3.7578	    1185522778112
5	    3.5342	    3.5139	    1265773084672
6	    3.7223	    3.9103	    1357950222336
7	    3.4732	    3.6257	    1479197622272
8	    3.6359	    3.4834	    1486473822208
9	    3.6206	    3.4834	    1628417196032
10	    3.4478	    3.4732	    1718549446656
11	    4.0323	    4.0323	    1790098866176
12	    3.4885	    3.6257	    1854925340672
13	    4.0272	    3.7375	    2063393325056
14	    3.951	    3.6257	    2123300896768
15	    3.7477	    3.7477	    2247779909632
16	    3.6155	    3.9408	    2265619922944
17	    3.9306	    3.6257	    2411513085952
18	    3.6359	    3.9408	    2667291246592
19	    3.5749	    3.5749	    3057946165248
20	    3.829	    3.8188	    3891770490880
21	    3.9611	    3.9306	    3937929953280
22	    3.7019	    3.7172	    4246422978560
23	    3.7223	    3.7172	    4546919137280
24	    3.8036	    3.8087	    4935700381696
25	    3.463	    3.4834	    6214708625408
26	    3.9255	    3.9205	    6666477076480
27	    3.6104	    3.6257	    10344788819968
28	    3.646	    3.6257	    10356080312320
29	    3.4986	    3.4935	    10390451978240
