Proton water suppressed NSN Honey Sample,,
,,
Peak,(F1) [ppm],Intensity [abs]
1,8.3433,527494144
2,5.3618,1286036480
3,5.3528,1198272512
4,5.3256,1542481920
5,5.316,1614082048
6,5.3084,1317061632
7,5.2986,1185857536
8,5.278,853760000
9,5.2682,792744960
10,5.2217,3479350272
11,5.2119,3090483200
12,5.1655,4508753920
13,5.157,5586091008
14,5.1517,46990659584
15,5.1423,44981555200
16,5.1214,541590528
17,5.0813,297004032
18,5.0718,267286528
19,5.0184,534528000
20,5.0089,487795712
21,4.9179,307031040
22,4.9088,399125504
23,4.8867,1630568448
24,4.878,1559582720
25,4.8715,1169426432
26,4.8642,412374016
27,4.5751,1341997056
28,4.5694,32988924928
29,4.5551,1214177280
30,4.5495,35647395840
31,4.5343,1064528896
32,4.4751,2055542784
33,4.4265,970391552
34,4.3653,386823168
35,4.3453,386382848
36,4.2715,920501248
37,4.255,1634681856
38,4.2521,2610649088
39,4.2347,3135308800
40,4.224,4172597248
41,4.2147,581998592
42,4.2046,1751207936
43,4.1982,931763200
44,4.1943,980876288
45,4.1902,907971584
46,4.1852,1458719744
47,4.172,2196864000
48,4.1634,1080590336
49,4.1454,1564429312
50,4.1312,1894662144
51,4.1187,1656339456
52,4.114,1680873472
53,4.1007,2925758464
54,4.0894,4717520896
55,4.0807,6816703488
56,4.0557,2117637120
57,4.0522,5723361280
58,4.0467,4618460160
59,4.0423,6790927360
60,4.0354,9575138304
61,4.032,48469401600
62,4.0293,107330000000
63,4.0205,110572000000
64,4.0171,34637270016
65,4.0124,1798520832
66,4.009,3706478592
67,4.004,1143176192
68,3.9996,3835154432
69,3.9958,6896155648
70,3.9882,5288526848
71,3.9823,6775113728
72,3.9784,9764331520
73,3.9746,10869366784
74,3.9708,15733688320
75,3.965,19057504256
76,3.9581,101339000000
77,3.9548,148625000000
78,3.9387,11926569984
79,3.9311,16886620160
80,3.9263,104708000000
81,3.923,176835000000
82,3.9197,115511000000
83,3.915,94850053120
84,3.911,118318000000
85,3.9065,113698000000
86,3.903,64896133120
87,3.8965,6473581568
88,3.8873,5221071872
89,3.8768,2616049664
90,3.873,4430257152
91,3.8692,3400357888
92,3.8631,6919892992
93,3.8567,5520483328
94,3.8464,6203929600
95,3.8412,6786205696
96,3.8349,8643357696
97,3.8305,32234883072
98,3.8278,112659000000
99,3.8254,80339440640
100,3.8192,81283081216
101,3.8086,11791415296
102,3.8025,157572000000
103,3.8,90875807744
104,3.794,193003000000
105,3.7793,13172555776
106,3.776,24874699776
107,3.7705,39041993728
108,3.7653,34074481664
109,3.7571,46105924608
110,3.7499,43150725120
111,3.7443,85505607680
112,3.7425,71776312320
113,3.7339,71504240640
114,3.73,59217015808
115,3.7265,54539783168
116,3.7202,274638000000
117,3.7078,6497713152
118,3.704,76607141888
119,3.6952,206674000000
120,3.6822,44183954432
121,3.6706,13262582784
122,3.6651,41635698688
123,3.6572,71980157952
124,3.6519,45897214976
125,3.6475,30529439744
126,3.6435,71912180736
127,3.6398,329014000000
128,3.6355,161562000000
129,3.6271,79227974656
130,3.6185,33229023232
131,3.6103,327092000000
132,3.6039,132533000000
133,3.5951,57321835520
134,3.5887,14930034688
135,3.5844,7593951232
136,3.5797,39060449280
137,3.5767,24754560000
138,3.5706,46206104576
139,3.5678,55647784960
140,3.5652,40594743296
141,3.5547,4353675264
142,3.5461,6561587200
143,3.5376,9662639104
144,3.5312,3929486336
145,3.5269,41050258432
146,3.5181,5518770176
147,3.5145,8851274752
148,3.5048,16070223872
149,3.5015,16409257984
150,3.4966,154231000000
151,3.4916,342156000000
152,3.4786,141306000000
153,3.4652,37378558976
154,3.4622,239925000000
155,3.4554,53880354816
156,3.4486,41386419200
157,3.4402,40210785280
158,3.4308,36958960640
159,3.4268,49328347136
160,3.4102,5649564672
161,3.4043,101406000000
162,3.3973,24388987904
163,3.3887,22696999936
164,3.3812,88658186240
165,3.3797,68658466816
166,3.3735,46950085632
167,3.3648,42498679808
168,3.3592,37095085056
169,3.3522,7892471808
170,3.3475,30146686976
171,3.3364,104226000000
172,3.3301,8236625920
173,3.323,40629723136
174,3.3128,55735459840
175,3.3042,2879270912
176,3.3,22360269824
177,3.2903,26610555904
178,3.2801,1438736384
179,3.2583,698034176
180,3.2323,555369472
181,3.221,830316544
182,3.2136,2061002752
183,3.2001,947187712
184,3.1953,2134972416
185,3.1904,3893255168
186,3.1799,61391974400
187,3.1668,3545879552
188,3.1601,59592167424
189,3.1572,64479796224
190,3.143,1077962752
191,3.1371,49289110528
192,3.1127,1686030336
193,2.997,344713216
194,2.9742,325099520
195,2.9541,245149696
196,2.4922,313503744
197,2.2436,308898816
198,1.9677,887215104
199,1.9641,1129911296
200,1.9477,2038870016
201,1.8832,326140928
202,1.8529,373893120
203,1.8174,706609152
204,1.8047,669661184
205,1.7759,539013120
206,1.3859,365111296
207,1.296,474910720
208,1.1924,602905600
209,1.1092,961731584
210,1.0933,1178892288
211,1.0815,561838080
212,1.0644,887239680
213,1.0538,1190358016
214,1.0502,1346399232
215,0.9936,464964608
216,0.8984,1179269120
217,0.8843,494892032
218,0.8256,476675072
